Interfaces,Interface Description
Excel.Interfaces.HeaderFooterGroupLoadOptions,"Represents the options for loading properties of a HeaderFooterGroup object, allowing specific properties to be retrieved."
Excel.Interfaces.HeaderFooterLoadOptions,"Represents the options for loading properties of a HeaderFooter object, enabling selective property retrieval."
Excel.Interfaces.PageBreakCollectionLoadOptions,"Represents the options for loading properties of a PageBreakCollection object, allowing selective data loading."
Excel.Interfaces.PageBreakLoadOptions,"Represents the options for loading properties of a PageBreak object, enabling selective loading of page break details."
Excel.Interfaces.RangeCollectionLoadOptions,"Represents the options for loading properties of a RangeCollection object, allowing specific range properties to be loaded."
Excel.RunOptions,"Represents options for customizing the behavior of the Excel.run function, such as timeout settings or context."
Excel.Session,"Represents a session in Excel, which can be used to maintain context and settings across multiple API calls."
Excel.ShowAsRule,"Represents a rule that specifies how a PivotTable value should be displayed, such as showing values as a percentage of the total."
Excel.AllowEditRangeOptions,The interface used to construct optional fields of the AllowEditRange object.
Excel.ArrayCellValue,Represents a 2D array of cell values.
Excel.Base64EncodedImage,The base64 encoding type and data of an image.
Excel.BasicDataValidation,Represents the basic type data validation criteria.
Excel.BindingDataChangedEventArgs,Provides information about the binding that raised the data changed event.
Excel.BindingSelectionChangedEventArgs,Provides information about the selection that raised the selection changed event.
Excel.BlockedErrorCellValue,Represents the value of a cell containing a #BLOCKED! error.
Excel.BooleanCellValue,Represents the value of a cell containing a boolean.
Excel.BusyErrorCellValue,Represents the value of a cell containing a #BUSY! error.
Excel.CalcErrorCellValue,Represents the value of a cell containing a #CALC! error.
Excel.CardLayoutListSection,Represents a section of a card that is arranged as a list in card view.
Excel.CardLayoutPropertyReference,Represents a reference to a property used by the card layout.
Excel.CardLayoutSectionStandardProperties,Properties of a card layout relevant to most card layouts.
Excel.CardLayoutStandardProperties,Properties of a card layout relevant to most card layouts.
Excel.CardLayoutTableSection,Represents a section of a card that is arranged as a table in card view.
Excel.CellBorder,"Represents the properties of a single border returned by getCellProperties, getRowProperties, and getColumnProperties, or the border property input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Excel.CellBorderCollection,"Represents the format.borders properties of getCellProperties, getRowProperties, and getColumnProperties, or the format.borders input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Excel.CellProperties,Represents the returned properties of getCellProperties.
Excel.CellPropertiesBorderLoadOptions,Specifies which properties to load on the format.borders object.
Excel.CellPropertiesFill,"Represents the format.fill properties of getCellProperties, getRowProperties, and getColumnProperties or the format.fill input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Excel.CellPropertiesFillLoadOptions,Specifies which properties to load on the format.fill object.
Excel.CellPropertiesFont,"Represents the format.font properties of getCellProperties, getRowProperties, and getColumnProperties, or the format.font input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Excel.CellPropertiesFontLoadOptions,Specifies which properties to load on the format.font object.
Excel.CellPropertiesFormat,Represents the returned format properties of getCellProperties or format input parameter of setCellProperties.
Excel.CellPropertiesFormatLoadOptions,Represents which properties to load on the format object.
Excel.CellPropertiesLoadOptions,"Represents which cell properties to load, when used as part of a ""range.getCellProperties"" method."
Excel.CellPropertiesProtection,"Represents the format.protection properties of getCellProperties, getRowProperties, and getColumnProperties, or the format.protection input parameter of setCellProperties, setRowProperties, and setColumnProperties."
Excel.CellValueAttributionAttributes,"The attribution attributes object represents the set of details that can be used to describe where information came from, if the information comes from a public source."
Excel.CellValueExtraProperties,"These extra properties may appear on a CellValue and provide information about that CellValue, but the extra properties are not part of the value in the cell."
Excel.CellValuePropertyMetadata,Metadata about a property in EntityCellValue.properties.
Excel.CellValuePropertyMetadataExclusions,Represents the exclusion of a property in EntityCellValue.properties from features of Excel.
Excel.CellValueProviderAttributes,The provider attributes object represents the set of details used in card view to provide specified branding information for a CellValue type that supports provider attributes.
Excel.ChangedEventDetail,Provides information about the details of a WorksheetChangedEvent or TableChangedEvent.
Excel.ChangeDirectionState,Represents the direction that existing or remaining cells in a worksheet will shift when cells are inserted into or deleted from a worksheet.
Excel.ChartActivatedEventArgs,Provides information about the chart that raised the activated event.
Excel.ChartAddedEventArgs,Provides information about the chart that raised the added event.
Excel.ChartDeactivatedEventArgs,Provides information about the chart that raised the deactivated event.
Excel.ChartDeletedEventArgs,Provides information about the chart that raised the deleted event.
Excel.ColumnProperties,Represents the returned properties of getColumnProperties.
Excel.ColumnPropertiesLoadOptions,"Represents which column properties to load, when used as part of a ""range.getColumnProperties"" method."
Excel.CommentAddedEventArgs,Provides information about the comments that raised the comment added event.
Excel.CommentChangedEventArgs,Occurs when existing comments are changed.
Excel.CommentDeletedEventArgs,Provides information about the comments that raised the comment deleted event.
Excel.CommentDetail,A structure for the comment ID and IDs of its related replies.
Excel.CommentMention,Represents the entity that is mentioned in comments.
Excel.CommentRichContent,"Represents the content contained within a comment or comment reply. Rich content incudes the text string and any other objects contained within the comment body, such as mentions."
Excel.ConditionalCellValueRule,Represents a cell value conditional format rule.
Excel.ConditionalColorScaleCriteria,Represents the criteria of the color scale.
Excel.ConditionalColorScaleCriterion,"Represents a color scale criterion which contains a type, value, and a color."
Excel.ConditionalDataBarRule,Represents a rule-type for a data bar.
Excel.ConditionalIconCriterion,"Represents an icon criterion which contains a type, value, an operator, and an optional custom icon, if not using an icon set."
Excel.ConditionalPresetCriteriaRule,Represents the preset criteria conditional format rule.
Excel.ConditionalTextComparisonRule,Represents a cell value conditional format rule.
Excel.ConditionalTopBottomRule,Represents the rule of the top/bottom conditional format.
Excel.ConnectErrorCellValue,Represents the value of a cell containing a #CONNECT! error.
Excel.CustomDataValidation,Represents the custom data validation criteria.
Excel.DataValidationErrorAlert,Represents the error alert properties for the data validation.
Excel.DataValidationPrompt,Represents the user prompt properties for the data validation.
Excel.DataValidationRule,A data validation rule contains different types of data validation. You can only use one of them at a time according the Excel.DataValidationType.
Excel.DateTimeDataValidation,Represents the date data validation criteria.
Excel.Div0ErrorCellValue,Represents the value of a cell containing a #DIV/0! error.
Excel.DocumentTaskSchedule,Represents information about a task's schedule.
Excel.DoubleCellValue,Represents the value of a cell containing a double.
Excel.EmailIdentity,Represents information about a user's identity.
Excel.EmptyCellValue,Represents the value of a cell that's empty and has no formulas or data.
Excel.EntityArrayCardLayout,Represents a card layout that is best used for an array.
Excel.EntityCardLayout,Represents a card layout that is best used for an array.
Excel.EntityCellValue,Represents a set of properties without a schema or defined structure.
Excel.EntityCompactLayout,The compact layout properties for an entity.
Excel.EntityPropertyExtraProperties,Properties used by CellValueAndPropertyMetadata. These properties refer to the metadata and not to a CellValue.
Excel.EntityViewLayouts,Represents layout information for various views of the entity.
Excel.ExternalCodeServiceObjectCellValue,"Represents the value of a cell containing an External Code Service Object, such as Python code formula."
Excel.ExternalErrorCellValue,Represents the value of a cell containing an #EXTERNAL! error.
Excel.FieldErrorCellValue,Represents the value of a cell containing a #FIELD! error.
Excel.FilterCriteria,Represents the filtering criteria applied to a column.
Excel.FilterDatetime,Represents how to filter a date when filtering on values.
Excel.FormattedNumberCellValue,"Represents the value of a cell containing a number with a format string. Number format strings must conform to Excel guidelines. To learn more, see Review guidelines for customizing a number format. In this scenario, the format is applied to the value and not to the cell, so the value retains its format string throughout calculation."
Excel.FormulaChangedEventDetail,Provides information about a changed formula during a formula changed event.
Excel.GettingDataErrorCellValue,Represents the value of a cell containing a #GETTING_DATA error.
Excel.Icon,Represents a cell icon.
Excel.Identity,Represents information about a user's identity.
Excel.InsertWorksheetOptions,The options that define which worksheets to insert and where in the workbook the new worksheets will be inserted.
Excel.Interfaces.AllowEditRangeCollectionData,An interface describing the data returned by calling allowEditRangeCollection.toJSON().
Excel.Interfaces.AllowEditRangeCollectionLoadOptions,"Represents the set of AllowEditRange objects found in a worksheet. AllowEditRange objects work with worksheet protection properties. When worksheet protection is enabled, an AllowEditRange object can be used to allow editing of a specific range, while maintaining protection on the rest of the worksheet."
Excel.Interfaces.AllowEditRangeCollectionUpdateData,"An interface for updating data on the AllowEditRangeCollection object, for use in allowEditRangeCollection.set({ ... })."
Excel.Interfaces.AllowEditRangeData,An interface describing the data returned by calling allowEditRange.toJSON().
Excel.Interfaces.AllowEditRangeLoadOptions,"Represents an AllowEditRange object found in a worksheet. This object works with worksheet protection properties. When worksheet protection is enabled, an AllowEditRange object can be used to allow editing of a specific range, while maintaining protection on the rest of the worksheet."
Excel.Interfaces.AllowEditRangeUpdateData,"An interface for updating data on the AllowEditRange object, for use in allowEditRange.set({ ... })."
Excel.Interfaces.ApplicationData,An interface describing the data returned by calling application.toJSON().
Excel.Interfaces.ApplicationLoadOptions,Represents the Excel application that manages the workbook.
Excel.Interfaces.ApplicationUpdateData,"An interface for updating data on the Application object, for use in application.set({ ... })."
Excel.Interfaces.AutoFilterData,An interface describing the data returned by calling autoFilter.toJSON().
Excel.Interfaces.AutoFilterLoadOptions,Represents the AutoFilter object. AutoFilter turns the values in Excel column into specific filters based on the cell contents.
Excel.Interfaces.BindingCollectionData,An interface describing the data returned by calling bindingCollection.toJSON().
Excel.Interfaces.BindingCollectionLoadOptions,Represents the collection of all the binding objects that are part of the workbook.
Excel.Interfaces.BindingCollectionUpdateData,"An interface for updating data on the BindingCollection object, for use in bindingCollection.set({ ... })."
Excel.Interfaces.BindingData,An interface describing the data returned by calling binding.toJSON().
Excel.Interfaces.BindingLoadOptions,Represents an Office.js binding that is defined in the workbook.
Excel.Interfaces.CellValueConditionalFormatData,An interface describing the data returned by calling cellValueConditionalFormat.toJSON().
Excel.Interfaces.CellValueConditionalFormatLoadOptions,Represents a cell value conditional format.
Excel.Interfaces.CellValueConditionalFormatUpdateData,"An interface for updating data on the CellValueConditionalFormat object, for use in cellValueConditionalFormat.set({ ... })."
Excel.Interfaces.ChartAreaFormatData,An interface describing the data returned by calling chartAreaFormat.toJSON().
Excel.Interfaces.ChartAreaFormatLoadOptions,Encapsulates the format properties for the overall chart area.
Excel.Interfaces.ChartAreaFormatUpdateData,"An interface for updating data on the ChartAreaFormat object, for use in chartAreaFormat.set({ ... })."
Excel.Interfaces.ChartAxesData,An interface describing the data returned by calling chartAxes.toJSON().
Excel.Interfaces.ChartAxesLoadOptions,Represents the chart axes.
Excel.Interfaces.ChartAxesUpdateData,"An interface for updating data on the ChartAxes object, for use in chartAxes.set({ ... })."
Excel.Interfaces.ChartAxisData,An interface describing the data returned by calling chartAxis.toJSON().
Excel.Interfaces.ChartAxisFormatData,An interface describing the data returned by calling chartAxisFormat.toJSON().
Excel.Interfaces.ChartAxisFormatLoadOptions,Encapsulates the format properties for the chart axis.
Excel.Interfaces.ChartAxisFormatUpdateData,"An interface for updating data on the ChartAxisFormat object, for use in chartAxisFormat.set({ ... })."
Excel.Interfaces.ChartAxisLoadOptions,Represents a single axis in a chart.
Excel.Interfaces.ChartAxisTitleData,An interface describing the data returned by calling chartAxisTitle.toJSON().
Excel.Interfaces.ChartAxisTitleFormatData,An interface describing the data returned by calling chartAxisTitleFormat.toJSON().
Excel.Interfaces.ChartAxisTitleFormatLoadOptions,Represents the chart axis title formatting.
Excel.Interfaces.ChartAxisTitleFormatUpdateData,"An interface for updating data on the ChartAxisTitleFormat object, for use in chartAxisTitleFormat.set({ ... })."
Excel.Interfaces.ChartAxisTitleLoadOptions,Represents the title of a chart axis.
Excel.Interfaces.ChartAxisTitleUpdateData,"An interface for updating data on the ChartAxisTitle object, for use in chartAxisTitle.set({ ... })."
Excel.Interfaces.ChartAxisUpdateData,"An interface for updating data on the ChartAxis object, for use in chartAxis.set({ ... })."
Excel.Interfaces.ChartBinOptionsData,An interface describing the data returned by calling chartBinOptions.toJSON().
Excel.Interfaces.ChartBinOptionsLoadOptions,Encapsulates the bin options for histogram charts and pareto charts.
Excel.Interfaces.ChartBinOptionsUpdateData,"An interface for updating data on the ChartBinOptions object, for use in chartBinOptions.set({ ... })."
Excel.Interfaces.ChartBorderData,An interface describing the data returned by calling chartBorder.toJSON().
Excel.Interfaces.ChartBorderLoadOptions,Represents the border formatting of a chart element.
Excel.Interfaces.ChartBorderUpdateData,"An interface for updating data on the ChartBorder object, for use in chartBorder.set({ ... })."
Excel.Interfaces.ChartBoxwhiskerOptionsData,An interface describing the data returned by calling chartBoxwhiskerOptions.toJSON().
Excel.Interfaces.ChartBoxwhiskerOptionsLoadOptions,Represents the properties of a box and whisker chart.
Excel.Interfaces.ChartBoxwhiskerOptionsUpdateData,"An interface for updating data on the ChartBoxwhiskerOptions object, for use in chartBoxwhiskerOptions.set({ ... })."
Excel.Interfaces.ChartCollectionData,An interface describing the data returned by calling chartCollection.toJSON().
Excel.Interfaces.ChartCollectionLoadOptions,A collection of all the chart objects on a worksheet.
Excel.Interfaces.ChartCollectionUpdateData,"An interface for updating data on the ChartCollection object, for use in chartCollection.set({ ... })."
Excel.Interfaces.ChartData,An interface describing the data returned by calling chart.toJSON().
Excel.Interfaces.ChartDataLabelData,An interface describing the data returned by calling chartDataLabel.toJSON().
Excel.Interfaces.ChartDataLabelFormatData,An interface describing the data returned by calling chartDataLabelFormat.toJSON().
Excel.Interfaces.ChartDataLabelFormatLoadOptions,Encapsulates the format properties for the chart data labels.
Excel.Interfaces.ChartDataLabelFormatUpdateData,"An interface for updating data on the ChartDataLabelFormat object, for use in chartDataLabelFormat.set({ ... })."
Excel.Interfaces.ChartDataLabelLoadOptions,Represents the data label of a chart point.
Excel.Interfaces.ChartDataLabelsData,An interface describing the data returned by calling chartDataLabels.toJSON().
Excel.Interfaces.ChartDataLabelsLoadOptions,Represents a collection of all the data labels on a chart point.
Excel.Interfaces.ChartDataLabelsUpdateData,"An interface for updating data on the ChartDataLabels object, for use in chartDataLabels.set({ ... })."
Excel.Interfaces.ChartDataLabelUpdateData,"An interface for updating data on the ChartDataLabel object, for use in chartDataLabel.set({ ... })."
Excel.Interfaces.ChartDataTableData,An interface describing the data returned by calling chartDataTable.toJSON().
Excel.Interfaces.ChartDataTableFormatData,An interface describing the data returned by calling chartDataTableFormat.toJSON().
Excel.Interfaces.ChartDataTableFormatLoadOptions,Represents the format of a chart data table.
Excel.Interfaces.ChartDataTableFormatUpdateData,"An interface for updating data on the ChartDataTableFormat object, for use in chartDataTableFormat.set({ ... })."
Excel.Interfaces.ChartDataTableLoadOptions,Represents the data table object of a chart.
Excel.Interfaces.ChartDataTableUpdateData,"An interface for updating data on the ChartDataTable object, for use in chartDataTable.set({ ... })."
Excel.Interfaces.ChartErrorBarsData,An interface describing the data returned by calling chartErrorBars.toJSON().
Excel.Interfaces.ChartErrorBarsFormatData,An interface describing the data returned by calling chartErrorBarsFormat.toJSON().
Excel.Interfaces.ChartErrorBarsFormatLoadOptions,Encapsulates the format properties for chart error bars.
Excel.Interfaces.ChartErrorBarsFormatUpdateData,"An interface for updating data on the ChartErrorBarsFormat object, for use in chartErrorBarsFormat.set({ ... })."
Excel.Interfaces.ChartErrorBarsLoadOptions,This object represents the attributes for a chart's error bars.
Excel.Interfaces.ChartErrorBarsUpdateData,"An interface for updating data on the ChartErrorBars object, for use in chartErrorBars.set({ ... })."
Excel.Interfaces.ChartFontData,An interface describing the data returned by calling chartFont.toJSON().
Excel.Interfaces.ChartFontLoadOptions,"This object represents the font attributes (such as font name, font size, and color) for a chart object."
Excel.Interfaces.ChartFontUpdateData,"An interface for updating data on the ChartFont object, for use in chartFont.set({ ... })."
Excel.Interfaces.ChartFormatStringData,An interface describing the data returned by calling chartFormatString.toJSON().
Excel.Interfaces.ChartFormatStringLoadOptions,"Represents the substring in chart related objects that contain text, like a ChartTitle object or ChartAxisTitle object."
Excel.Interfaces.ChartFormatStringUpdateData,"An interface for updating data on the ChartFormatString object, for use in chartFormatString.set({ ... })."
Excel.Interfaces.ChartGridlinesData,An interface describing the data returned by calling chartGridlines.toJSON().
Excel.Interfaces.ChartGridlinesFormatData,An interface describing the data returned by calling chartGridlinesFormat.toJSON().
Excel.Interfaces.ChartGridlinesFormatLoadOptions,Encapsulates the format properties for chart gridlines.
Excel.Interfaces.ChartGridlinesFormatUpdateData,"An interface for updating data on the ChartGridlinesFormat object, for use in chartGridlinesFormat.set({ ... })."
Excel.Interfaces.ChartGridlinesLoadOptions,Represents major or minor gridlines on a chart axis.
Excel.Interfaces.ChartGridlinesUpdateData,"An interface for updating data on the ChartGridlines object, for use in chartGridlines.set({ ... })."
Excel.Interfaces.ChartLegendData,An interface describing the data returned by calling chartLegend.toJSON().
Excel.Interfaces.ChartLegendEntryCollectionData,An interface describing the data returned by calling chartLegendEntryCollection.toJSON().
Excel.Interfaces.ChartLegendEntryCollectionLoadOptions,Represents a collection of legend entries.
Excel.Interfaces.ChartLegendEntryCollectionUpdateData,"An interface for updating data on the ChartLegendEntryCollection object, for use in chartLegendEntryCollection.set({ ... })."
Excel.Interfaces.ChartLegendEntryData,An interface describing the data returned by calling chartLegendEntry.toJSON().
Excel.Interfaces.ChartLegendEntryLoadOptions,Represents the legend entry in legendEntryCollection.
Excel.Interfaces.ChartLegendEntryUpdateData,"An interface for updating data on the ChartLegendEntry object, for use in chartLegendEntry.set({ ... })."
Excel.Interfaces.ChartLegendFormatData,An interface describing the data returned by calling chartLegendFormat.toJSON().
Excel.Interfaces.ChartLegendFormatLoadOptions,Encapsulates the format properties of a chart legend.
Excel.Interfaces.ChartLegendFormatUpdateData,"An interface for updating data on the ChartLegendFormat object, for use in chartLegendFormat.set({ ... })."
Excel.Interfaces.ChartLegendLoadOptions,Represents the legend in a chart.
Excel.Interfaces.ChartLegendUpdateData,"An interface for updating data on the ChartLegend object, for use in chartLegend.set({ ... })."
Excel.Interfaces.ChartLineFormatData,An interface describing the data returned by calling chartLineFormat.toJSON().
Excel.Interfaces.ChartLineFormatLoadOptions,Encapsulates the formatting options for line elements.
Excel.Interfaces.ChartLineFormatUpdateData,"An interface for updating data on the ChartLineFormat object, for use in chartLineFormat.set({ ... })."
Excel.Interfaces.ChartLoadOptions,"Represents a chart object in a workbook. To learn more about the chart object model, see Work with charts using the Excel JavaScript API."
Excel.Interfaces.ChartMapOptionsData,An interface describing the data returned by calling chartMapOptions.toJSON().
Excel.Interfaces.ChartMapOptionsLoadOptions,Encapsulates the properties for a region map chart.
Excel.Interfaces.ChartMapOptionsUpdateData,"An interface for updating data on the ChartMapOptions object, for use in chartMapOptions.set({ ... })."
Excel.Interfaces.ChartPivotOptionsData,An interface describing the data returned by calling chartPivotOptions.toJSON().
Excel.Interfaces.ChartPivotOptionsLoadOptions,Encapsulates the options for the pivot chart.
Excel.Interfaces.ChartPivotOptionsUpdateData,"An interface for updating data on the ChartPivotOptions object, for use in chartPivotOptions.set({ ... })."
Excel.Interfaces.ChartPlotAreaData,An interface describing the data returned by calling chartPlotArea.toJSON().
Excel.Interfaces.ChartPlotAreaFormatData,An interface describing the data returned by calling chartPlotAreaFormat.toJSON().
Excel.Interfaces.ChartPlotAreaFormatLoadOptions,Represents the format properties for a chart plot area.
Excel.Interfaces.ChartPlotAreaFormatUpdateData,"An interface for updating data on the ChartPlotAreaFormat object, for use in chartPlotAreaFormat.set({ ... })."
Excel.Interfaces.ChartPlotAreaLoadOptions,This object represents the attributes for a chart plot area.
Excel.Interfaces.ChartPlotAreaUpdateData,"An interface for updating data on the ChartPlotArea object, for use in chartPlotArea.set({ ... })."
Excel.Interfaces.ChartPointData,An interface describing the data returned by calling chartPoint.toJSON().
Excel.Interfaces.ChartPointFormatData,An interface describing the data returned by calling chartPointFormat.toJSON().
Excel.Interfaces.ChartPointFormatLoadOptions,Represents the formatting object for chart points.
Excel.Interfaces.ChartPointFormatUpdateData,"An interface for updating data on the ChartPointFormat object, for use in chartPointFormat.set({ ... })."
Excel.Interfaces.ChartPointLoadOptions,Represents a point of a series in a chart.
Excel.Interfaces.ChartPointsCollectionData,An interface describing the data returned by calling chartPointsCollection.toJSON().
Excel.Interfaces.ChartPointsCollectionLoadOptions,A collection of all the chart points within a series inside a chart.
Excel.Interfaces.ChartPointsCollectionUpdateData,"An interface for updating data on the ChartPointsCollection object, for use in chartPointsCollection.set({ ... })."
Excel.Interfaces.ChartPointUpdateData,"An interface for updating data on the ChartPoint object, for use in chartPoint.set({ ... })."
Excel.Interfaces.ChartSeriesCollectionData,An interface describing the data returned by calling chartSeriesCollection.toJSON().
Excel.Interfaces.ChartSeriesCollectionLoadOptions,Represents a collection of chart series.
Excel.Interfaces.ChartSeriesCollectionUpdateData,"An interface for updating data on the ChartSeriesCollection object, for use in chartSeriesCollection.set({ ... })."
Excel.Interfaces.ChartSeriesData,An interface describing the data returned by calling chartSeries.toJSON().
Excel.Interfaces.ChartSeriesFormatData,An interface describing the data returned by calling chartSeriesFormat.toJSON().
Excel.Interfaces.ChartSeriesFormatLoadOptions,Encapsulates the format properties for the chart series
Excel.Interfaces.ChartSeriesFormatUpdateData,"An interface for updating data on the ChartSeriesFormat object, for use in chartSeriesFormat.set({ ... })."
Excel.Interfaces.ChartSeriesLoadOptions,Represents a series in a chart.
Excel.Interfaces.ChartSeriesUpdateData,"An interface for updating data on the ChartSeries object, for use in chartSeries.set({ ... })."
Excel.Interfaces.ChartTitleData,An interface describing the data returned by calling chartTitle.toJSON().
Excel.Interfaces.ChartTitleFormatData,An interface describing the data returned by calling chartTitleFormat.toJSON().
Excel.Interfaces.ChartTitleFormatLoadOptions,Provides access to the formatting options for a chart title.
Excel.Interfaces.ChartTitleFormatUpdateData,"An interface for updating data on the ChartTitleFormat object, for use in chartTitleFormat.set({ ... })."
Excel.Interfaces.ChartTitleLoadOptions,Represents a chart title object of a chart.
Excel.Interfaces.ChartTitleUpdateData,"An interface for updating data on the ChartTitle object, for use in chartTitle.set({ ... })."
Excel.Interfaces.ChartTrendlineCollectionData,An interface describing the data returned by calling chartTrendlineCollection.toJSON().
Excel.Interfaces.ChartTrendlineCollectionLoadOptions,Represents a collection of chart trendlines.
Excel.Interfaces.ChartTrendlineCollectionUpdateData,"An interface for updating data on the ChartTrendlineCollection object, for use in chartTrendlineCollection.set({ ... })."
Excel.Interfaces.ChartTrendlineData,An interface describing the data returned by calling chartTrendline.toJSON().
Excel.Interfaces.ChartTrendlineFormatData,An interface describing the data returned by calling chartTrendlineFormat.toJSON().
Excel.Interfaces.ChartTrendlineFormatLoadOptions,Represents the format properties for the chart trendline.
Excel.Interfaces.ChartTrendlineFormatUpdateData,"An interface for updating data on the ChartTrendlineFormat object, for use in chartTrendlineFormat.set({ ... })."
Excel.Interfaces.ChartTrendlineLabelData,An interface describing the data returned by calling chartTrendlineLabel.toJSON().
